I,II,III,IV,V,VI,VII,I'
294,314,340,398,425,460,514,588
292,317,338,406,430,464,513,595
295,317,345,399,439,465,512,590
295,320,347,406,440,470,519,598
278,299,326,386,418,440,489,556
281,300,327,nan,419,444,nan,567
262,281,306,348,388,409,457,524
261,283,304,351,386,411,456,527
292,309,332,391,425,443,490,584
290,307,335,394,425,450,498,nan
297,322,350,410,438,468,517,594
298,323,351,412,443,474,523,nan
276,293,316.5,373,402.5,432.5,473.5,552
273,293,316,378,406,430,472,540
297,315.5,343,398,433,461.5,505,594
295,317,342,399,434,465,507,593
292,310,338,397,428,456,497,584
286,309,333,394,420,454,501,574
217.5,231.5,262.5,301,318,334,362.5,435
216,232,250,300,316,335,365,436
201.5,209,222.5,263.5,292,316,338.5,403
198,207,220,267,288,304,328,399
218.5,229.5,260,297,314,332,362,437
214,224,248,293,308,331,365,432
